Id,Property,en-US,zh-Hans,zh-Hant,ru-RU
_AddSearchedJavaT,,Added searched Java to the launcher,已将添加搜索到的 Java 添加到启动器,已將新增搜尋的 Java 新增至啟動器,Найденная Java добавлена в лаунчер
_AddSearchedJavaFailedT,,An error occurred while searching for the Java runtime,搜索 Java 运行时时出现错误,搜尋 Java 運行時出現錯誤,Произошла ошибка при поиске среды выполнения Java
_AddJavaExistedT,,Failed to add Java,添加 Java 失败,新增 Java 失敗,Не удалось добавить Java
_AddJavaExistedD,,The Java already exists,该 Java 已存在,該 Java 已存在,Java уже существует
AccountAddWelcome,Text,"Welcome Back,",欢迎回来，,歡迎回來，,"С возвращением,"
_AccountAddSuccessful,,Added Successfully,添加成功,添加成功,Успешно добавлен
_AccountExisted,,The account already exists and the data of the account has been replaced,该账户已存在，已替换该账户的数据,該帳戶已存在，並已替換該帳戶的數據,Учетная запись уже существует и данные учетной записи были заменены.
_AccountYggdrasilProfileConfirmationFailed,,The profile of this yggdrasil account could't be confirmed,无法确认此 Yggdrasil 帐户的个人资料,無法確認此 yggdrasil 帳戶的個人資料,Профиль этого аккаунта yggdrasil не может быть подтвержден
_NoMinecraftFolder,,No Minecraft Data Folders,没有 Minecraft 数据文件夹,沒有 Minecraft 資料夾,Нет папки данных Minecraft
NavigateMinecraftFolder,Content,Go To Settings,转到设置,轉到設定,Перейти в настройки
_CoreNotInSourceList,,"The core is not found in the current download source, please check the network or choose another download source",当前下载源中未找到该核心，请检查网络或选择其他下载源,在目前下載來源中找不到此核心，請檢查網路或選擇其他下載來源,"Это ядро не найдено в текущем источнике скачивания, проверьте свою сеть или выберите другой источник скачивания."
_DeleteGameFailedT,,The core cannot be deleted,无法删除该核心,無法刪除該核心,Ядро не может быть удалено
_DeleteGameFailedD,,The current core file is occupied by other processes. Please cancel the process and try again.,当前核心文件被其他进程占用，请解除进程后重试,目前核心檔案被其他進程佔用，請解除進程後重試,Текущий файл ядра занят другим процессом. Завершите процесс и повторите попытку.
_DeleteGameTitle,,The core was successfully deleted,成功删除该核心,成功刪除該核心,Ядро успешно удалено
_ExportLog,,Log file exported successfully,日志文件已成功导出,日志文件已成功导出,Файл журнала успешно экспортирован
_LaunchGameThrowException,,Encountered an error during launching,启动过程中遇到错误,啟動過程中遇到錯誤,Произошла ошибка при запуске
ExceptionCopyButton,Content,Copy Full Information,复制完整信息,複製完整訊息,Копировать полную информацию
_LaunchGameThrowMicrosoftAuthenticationException,,"An exception occurred while refreshing the account, please log in to the yggdrasil account again to get the access token again.",刷新账户时发生异常，请重新登录该外置账户，以重新获取访问令牌,刷新帳戶時發生異常，請重新登入該外置帳戶，以重新取得存取令牌,"При обновлении учетной записи произошла исключительная ситуация. Пожалуйста, войдите в учетную запись yggdrasil еще раз, чтобы снова получить токен доступа."
_LaunchGameThrowYggdrasilAuthenticationException,,"An exception occurred while refreshing the account, please log in to the Microsoft account again to get the access token again.",刷新账户时发生异常，请重新登录该微软账户，以重新获取访问令牌,刷新帳戶時發生異常，請重新登入該微軟帳戶，以重新取得存取權杖,"При обновлении учетной записи произошло исключение. Пожалуйста, войдите в учетную запись Microsoft еще раз, чтобы снова получить токен доступа."
_SkinDisplayExceptionT,,Skin model loading failed,皮肤模型加载失败,皮膚模型載入失敗,Загрузка модели кожи не удалась
_SkinDisplayExceptionD,,Failed to obtain skin file or model type. This may be due to account access token expiration. Please refresh the account to try to solve it.,获取皮肤文件或模型类型失败，这可能是由于账户访问令牌过期导致的，请刷新账户尝试解决,取得皮膚檔案或模型類型失敗，這可能是由於帳戶存取權杖過期導致的，請刷新帳戶嘗試解決,"Не удалось получить файл скина или тип модели. Это может быть связано с истечением срока действия токена доступа к учетной записи. Пожалуйста, обновите учетную запись, чтобы попытаться решить эту проблему."
_SkinUploadException,,Failed to upload skin,上传皮肤失败,上傳皮膚失敗,Не удалось загрузить скин
_AddDownloadTask,,Added to download task,已添加到下载任务,新增到下載任務,Добавлено в задачу загрузки
